schema_name,table_name,trigger_name,trigger_definition,function_called
public,lead_tags,lead_tags_prepare_record,CREATE TRIGGER lead_tags_prepare_record BEFORE INSERT ON lead_tags FOR EACH ROW EXECUTE FUNCTION private.prepare_lead_tag_record(),private.prepare_lead_tag_record
public,leads,leads_prepare_record,CREATE TRIGGER leads_prepare_record BEFORE INSERT OR UPDATE ON leads FOR EACH ROW EXECUTE FUNCTION private.prepare_lead_record(),private.prepare_lead_record
public,leads,leads_record_assignment_change,CREATE TRIGGER leads_record_assignment_change AFTER UPDATE OF assigned_to ON leads FOR EACH ROW EXECUTE FUNCTION private.record_lead_assignment_history(),private.record_lead_assignment_history
public,leads,leads_record_initial_assignment,CREATE TRIGGER leads_record_initial_assignment AFTER INSERT ON leads FOR EACH ROW EXECUTE FUNCTION private.record_lead_assignment_history(),private.record_lead_assignment_history
public,leads,leads_record_initial_stage,CREATE TRIGGER leads_record_initial_stage AFTER INSERT ON leads FOR EACH ROW EXECUTE FUNCTION private.record_lead_stage_history(),private.record_lead_stage_history
public,leads,leads_record_stage_change,"CREATE TRIGGER leads_record_stage_change AFTER UPDATE OF pipeline_id, stage_id ON leads FOR EACH ROW EXECUTE FUNCTION private.record_lead_stage_history()",private.record_lead_stage_history
public,leads,leads_set_updated_at,CREATE TRIGGER leads_set_updated_at BEFORE UPDATE ON leads FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,leads,leads_validate_write,CREATE TRIGGER leads_validate_write BEFORE INSERT OR UPDATE ON leads FOR EACH ROW EXECUTE FUNCTION private.validate_lead_write(),private.validate_lead_write
public,messages,messages_00_hydrate_media_from_metadata,CREATE TRIGGER messages_00_hydrate_media_from_metadata BEFORE INSERT ON messages FOR EACH ROW EXECUTE FUNCTION private.hydrate_message_media_from_metadata(),private.hydrate_message_media_from_metadata
public,messages,messages_notify_inbound,CREATE TRIGGER messages_notify_inbound AFTER INSERT ON messages FOR EACH ROW EXECUTE FUNCTION private.notify_inbound_message(),private.notify_inbound_message
public,messages,messages_prepare_record,CREATE TRIGGER messages_prepare_record BEFORE INSERT ON messages FOR EACH ROW EXECUTE FUNCTION private.prepare_message_record(),private.prepare_message_record
public,messages,messages_update_conversation,CREATE TRIGGER messages_update_conversation AFTER INSERT ON messages FOR EACH ROW EXECUTE FUNCTION private.update_conversation_from_message(),private.update_conversation_from_message
public,messages,messages_validate_insert,CREATE TRIGGER messages_validate_insert BEFORE INSERT ON messages FOR EACH ROW EXECUTE FUNCTION private.validate_message_insert(),private.validate_message_insert
public,organization_branding,organization_branding_set_updated_at,CREATE TRIGGER organization_branding_set_updated_at BEFORE UPDATE ON organization_branding FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,organization_members,organization_members_set_updated_at,CREATE TRIGGER organization_members_set_updated_at BEFORE UPDATE ON organization_members FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,organizations,organizations_set_updated_at,CREATE TRIGGER organizations_set_updated_at BEFORE UPDATE ON organizations FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,pipeline_stage_user_access,pipeline_stage_user_access_set_updated_at,CREATE TRIGGER pipeline_stage_user_access_set_updated_at BEFORE UPDATE ON pipeline_stage_user_access FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,pipeline_stages,pipeline_stages_set_updated_at,CREATE TRIGGER pipeline_stages_set_updated_at BEFORE UPDATE ON pipeline_stages FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,pipeline_user_access,pipeline_user_access_set_updated_at,CREATE TRIGGER pipeline_user_access_set_updated_at BEFORE UPDATE ON pipeline_user_access FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,pipelines,pipelines_set_updated_at,CREATE TRIGGER pipelines_set_updated_at BEFORE UPDATE ON pipelines FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,profiles,profiles_set_updated_at,CREATE TRIGGER profiles_set_updated_at BEFORE UPDATE ON profiles FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,roles,roles_set_updated_at,CREATE TRIGGER roles_set_updated_at BEFORE UPDATE ON roles FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,tags,tags_prepare_record,CREATE TRIGGER tags_prepare_record BEFORE INSERT OR UPDATE ON tags FOR EACH ROW EXECUTE FUNCTION private.prepare_tag_record(),private.prepare_tag_record
public,tags,tags_set_updated_at,CREATE TRIGGER tags_set_updated_at BEFORE UPDATE ON tags FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,task_reminders,task_reminders_set_updated_at,CREATE TRIGGER task_reminders_set_updated_at BEFORE UPDATE ON task_reminders FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,task_reminders,task_reminders_validate_write,CREATE TRIGGER task_reminders_validate_write BEFORE INSERT OR UPDATE ON task_reminders FOR EACH ROW EXECUTE FUNCTION private.validate_task_reminder_write(),private.validate_task_reminder_write
public,tasks,tasks_notify_assignment_change,CREATE TRIGGER tasks_notify_assignment_change AFTER UPDATE OF assigned_to ON tasks FOR EACH ROW EXECUTE FUNCTION private.notify_task_assignment(),private.notify_task_assignment
public,tasks,tasks_notify_initial_assignment,CREATE TRIGGER tasks_notify_initial_assignment AFTER INSERT ON tasks FOR EACH ROW EXECUTE FUNCTION private.notify_task_assignment(),private.notify_task_assignment
public,tasks,tasks_prepare_record,CREATE TRIGGER tasks_prepare_record BEFORE INSERT OR UPDATE ON tasks FOR EACH ROW EXECUTE FUNCTION private.prepare_task_record(),private.prepare_task_record
public,tasks,tasks_record_initial_activity,CREATE TRIGGER tasks_record_initial_activity AFTER INSERT ON tasks FOR EACH ROW EXECUTE FUNCTION private.record_task_activity(),private.record_task_activity
public,tasks,tasks_record_update_activity,CREATE TRIGGER tasks_record_update_activity AFTER UPDATE ON tasks FOR EACH ROW EXECUTE FUNCTION private.record_task_activity(),private.record_task_activity
public,tasks,tasks_set_updated_at,CREATE TRIGGER tasks_set_updated_at BEFORE UPDATE ON tasks FOR EACH ROW EXECUTE FUNCTION set_updated_at(),public.set_updated_at
public,tasks,tasks_validate_write,CREATE TRIGGER tasks_validate_write BEFORE INSERT OR UPDATE ON tasks FOR EACH ROW EXECUTE FUNCTION private.validate_task_write(),private.validate_task_write
storage,buckets,enforce_bucket_name_length_trigger,CREATE TRIGGER enforce_bucket_name_length_trigger BEFORE INSERT OR UPDATE OF name ON storage.buckets FOR EACH ROW EXECUTE FUNCTION storage.enforce_bucket_name_length(),storage.enforce_bucket_name_length
storage,buckets,protect_buckets_delete,CREATE TRIGGER protect_buckets_delete BEFORE DELETE ON storage.buckets FOR EACH STATEMENT EXECUTE FUNCTION storage.protect_delete(),storage.protect_delete
storage,objects,protect_objects_delete,CREATE TRIGGER protect_objects_delete BEFORE DELETE ON storage.objects FOR EACH STATEMENT EXECUTE FUNCTION storage.protect_delete(),storage.protect_delete
storage,objects,update_objects_updated_at,CREATE TRIGGER update_objects_updated_at BEFORE UPDATE ON storage.objects FOR EACH ROW EXECUTE FUNCTION storage.update_updated_at_column(),storage.update_updated_at_column
